Corpus: Corpus 6| Search Term: pública| Statistic: 03 - MI| Span: 10-10| Collocation freq. threshold: 5.0| Statistic value threshold: 3.0| CPN: 03 - MI/ L10-R10/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"●","L","conveniencia","9.379258976616006","11","16"
"○","L","motivo","9.057330703552207","11","20"
"○","L","grave","8.804349889284143","6","13"
"○","L","ejecutivo","6.13323091431605","5","69"
"○","L","lo","5.59789918672974","7","140"
"○","R","es","5.191906826842112","6","159"
"○","L","un","5.131924719308399","8","221"
"○","L","una","5.0701615572538055","6","173"
"○","L","ó","4.9969951499695435","6","182"
"○","R","su","4.914202726746836","8","257"
"○","L","de","4.703780236055437","59","2193"
"○","L","la","4.51243454126743","34","1443"
"○","R","para","4.504789784460344","6","256"
"○","R","el","4.431352866647112","19","853"
"○","L","por","4.408074630176432","8","365"
"○","R","que","4.387002405046592","27","1250"
"○","R","en","4.381581280235339","17","790"
"○","R","las","4.308392575708781","9","440"
"○","R","se","4.295336415484234","9","444"
"○","L","á","4.294450513889441","11","543"
"○","R","no","4.082725022399593","6","343"
"○","M","y","3.919827283739188","6","384"
"○","R","i","3.8635590653063785","11","732"
"○","M","del","3.736605460368637","6","436"
"○","R","los","3.21592371118008","8","834"
