Corpus: Corpus 7| Search Term: /.*ndult.*/i| Statistic: 03 - MI| Span: 5-5| Collocation freq. threshold: 5.0| Statistic value threshold: 5.0| CPN: 03 - MI/ L5-R5/ C: 5.0-NC: 5.0| 
"Status","Position","Collocate","Stat","Freq (coll.)","Freq (corpus)"
"○","R","pecuniario","8.151135035360575","5","8"
"○","R","concede","7.829206940473466","6","12"
"○","R","concedido","7.751204853269866","9","19"
"○","R","ilícito","7.713730343911953","6","13"
"○","L","conceder","7.543804928563824","16","39"
"○","L","gozar","7.388634773885253","7","19"
"○","L","publicar","7.326707074718309","6","17"
"○","R","generales","7.24424497782914","5","15"
"○","L","concedió","7.24424497782914","5","15"
"○","R","solicita","7.151135035361082","5","16"
"○","R","m.","7.051599361809733","7","24"
"○","R","delinquentes","7.044935891888502","9","31"
"○","R","general","6.56617266915809","25","120"
"○","R","presos","6.128767429284208","6","39"
"○","R","perdon","6.079185411620721","11","74"
"○","R","reos","5.8816743603663335","7","54"
"○","L","facultad","5.770313251420744","6","50"
"○","R","causas","5.741744257480395","6","51"
"○","R","s.","5.614194173672763","7","65"
"○","L","cedula","5.581279568628531","6","57"
"○","L","cartagena","5.581279568628531","6","57"
"○","R","delito","5.539700506714349","9","88"
"○","L","despues","5.459973391166253","6","62"
"○","L","gracia","5.4506953172204975","5","52"
"○","M","ha","5.314633868532169","14","160"
"○","L","sobre","5.104314246433742","9","119"
"○","L","referido","5.063672431496908","5","68"
"○","M","excelencia","5.056617633434407","6","82"
